row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak area,171103_PMA_TK_M1_02.mzML Peak area,171103_PMA_TK_M1_03.mzML Peak area,171103_PMA_TK_M1_04.mzML Peak area,171103_PMA_TK_M1_05.mzML Peak area,171103_PMA_TK_M1_06.mzML Peak area,171103_PMA_TK_PA14_01.mzML Peak area,171103_PMA_TK_PA14_02.mzML Peak area,171103_PMA_TK_PA14_03.mzML Peak area,171103_PMA_TK_PA14_04.mzML Peak area,171103_PMA_TK_PA14_05.mzML Peak area,171103_PMA_TK_PA14_06.mzML Peak area,171103_PMA_TK_QC_03.mzML Peak area,171103_PMA_TK_QC_04.mzML Peak area,171103_PMA_TK_QC_05.mzML Peak area,171103_PMA_TK_QC_06.mzML Peak area,171103_PMA_TK_QC_07.mzML Peak area,171103_PMA_TK_QC_08.mzML Peak area,171103_PMA_TK_media_02.mzML Peak area,171103_PMA_TK_media_03.mzML Peak area,171103_PMA_TK_media_04.mzML Peak area,171103_PMA_TK_media_05.mzML Peak area,171103_PMA_TK_media_06.mzML Peak area,Unnamed: 36
1,142.94801883680057,0.22410153,height,,,,,,,,,,,46162540.0,49551780.0,44650460.0,44682500.0,46410664.0,48590270.0,47462296.0,41256404.0,44311416.0,40098852.0,44238704.0,43453980.0,43006356.0,36800330.0,47469596.0,41277204.0,42967156.0,39495516.0,53880464.0,43142256.0,34663384.0,45357330.0,39362332.0,
2,164.92992190077595,0.23256929,height,,,,,,,,,,,43333588.0,0.0,44063170.0,43711628.0,46930748.0,40438296.0,37238972.0,31143612.0,36199132.0,36500264.0,0.0,38934920.0,50242660.0,47997804.0,44972468.0,38912010.0,42365172.0,36593130.0,0.0,26833590.0,22496776.0,30036926.0,27764214.0,
4,180.90377915736784,0.241476,height,,,,,,,,,,,14607284.0,14627077.0,14739687.0,14163742.0,15093781.0,13318086.0,12906939.0,10249272.0,11655849.0,11734633.0,12254312.0,12073463.0,16563244.0,15957149.0,14695192.0,13549184.0,13967923.0,12344192.0,8168528.5,8903345.0,8135369.0,9923148.0,8636811.0,
3,169.0946581484051,0.2426436,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19297486.0,22235998.0,16214254.0,17070318.0,25092588.0,20537664.0,0.0,0.0,0.0,0.0,0.0,0.0,23943488.0,18917810.0,0.0,22636990.0,23221336.0,
14,382.86562122767833,0.24585928,height,,,,,,,,,,,0.0,11360764.0,0.0,19375818.0,23006382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16061445.0,16847682.0,0.0,0.0,12159537.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,175.11879013231035,0.2463033,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39137930.0,38634260.0,38518020.0,34731516.0,33597796.0,33337582.0,221568100.0,216182960.0,214536160.0,215729840.0,202245150.0,
7,219.02637044970172,0.24644226,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,49683656.0,53821456.0,43204370.0,40601740.0,44512770.0,48776840.0,19424238.0,19192770.0,17859786.0,17770616.0,12706594.0,12670575.0,45054484.0,46302480.0,52151068.0,45484012.0,38157080.0,
8,203.05240918352425,0.2484539,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,369450850.0,372613920.0,317527680.0,312308960.0,357286500.0,373503940.0,118852744.0,112178590.0,116104330.0,100288536.0,86071700.0,89206840.0,340997630.0,344743900.0,358549400.0,329881000.0,295257280.0,
9,185.04198858091644,0.24963875,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,23260386.0,35541040.0,22914920.0,22849850.0,35763788.0,18436516.0,0.0,0.0,0.0,0.0,0.0,0.0,71098800.0,55579384.0,69230110.0,66625090.0,62052812.0,
10,138.0524287944269,0.25374514,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22554394.0,24434922.0,25828076.0,24509516.0,25312494.0,21324996.0,162233300.0,150037780.0,175654700.0,129630740.0,143241860.0,
11,272.1714198979163,0.2558918,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32755600.0,32662382.0,44972564.0,32162422.0,29107270.0,
12,265.11144929901565,0.25655586,height,,,,,,,,,,,50154164.0,40341436.0,50335850.0,32888042.0,37264080.0,54174564.0,41348576.0,41013144.0,38289804.0,36529852.0,39211580.0,39032780.0,39716604.0,33821750.0,33155390.0,27763940.0,29039488.0,27959092.0,51207644.0,49147730.0,56518092.0,36216976.0,36591550.0,
6,170.04233184513828,0.2581196,height,,,,,,,,,,,29458614.0,28719586.0,37430596.0,25985416.0,27600664.0,33548894.0,14526574.0,12545179.0,10492099.0,9158063.0,12376660.0,12328622.0,0.0,11277850.0,9905295.0,0.0,0.0,0.0,14918969.0,14223163.0,15722192.0,18219468.0,15008383.0,
13,231.133737517522,0.26005387,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33257110.0,25897870.0,33030736.0,28034180.0,31923594.0,
