SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00003135371	192	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.993759	3295160000.0	0	19.3855	6	0.0032196	166.086	1	temp/spectra_filtered.mgf192	1	Spectral Match to DL-Phenylalanine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	166.083	165.079	1	150301	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	GNPS-NIST14-MATCHES	166.083	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135371
CCMSLIB00003136607	393	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.993705	616873000.0	0	0.933503	6	0.000228882	245.186	1	temp/spectra_filtered.mgf393	1	Spectral Match to Ile-Leu from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	245.186	244.179	1	N/A	N/A	CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N	InChI=1S/C12H24N2O3/c1-5-8(4)10(13)11(15)14-9(12(16)17)6-7(2)3/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t8-,9-,10-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	245.186	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C12H24N2O3	JWBXCSQZLLIOCI-GUBZILKMSA-N	JWBXCSQZLLIOCI	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136607
CCMSLIB00003135371	321	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.993623	20833300.0	0	19.3855	6	0.0032196	166.086	1	temp/spectra_filtered.mgf321	1	Spectral Match to DL-Phenylalanine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	166.083	165.079	1	150301	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	GNPS-NIST14-MATCHES	166.083	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135371
CCMSLIB00003138602	597	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.989971	13328500.0	0	0.787421	10	0.000167847	213.16	1	temp/spectra_filtered.mgf597	1	Spectral Match to Val-Leu from NIST14	ESI	Q-TOF	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H-H2O	213.16	0.0	1	3989977	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	213.16	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138602
CCMSLIB00011906249	857	spectra_filtered.mgf	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	0.988285	54060600.0	0	515.439	8	0.0953979	184.986	1	temp/spectra_filtered.mgf857	1	Asperlactone	ESI	Orbitrap	Isolated	Daniel Petras	"""Giovanni Andrea Vitale, Christian Geibel"""	M+H	185.081	184.074	1	N/A	N/A	CC1C(O1)C2=CC(OC2=O)C(C)O	InChI=1S/C9H12O4/c1-4(10)7-3-6(9(11)13-7)8-5(2)12-8/h3-5,7-8,10H,1-2H3	N/A	1	Positive	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	185.081	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H12O4	VMLNPJDEXLLCQG-UHFFFAOYSA-N	VMLNPJDEXLLCQG	Organoheterocyclic compounds	Dihydrofurans	Furanones	Cyclic polyketides		Polyketides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00011906249
CCMSLIB00010114693	600	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.986015	4994160.0	0	563.757	6	0.0942078	167.013	1	temp/spectra_filtered.mgf600	1	(S)-(-)-Perillic acid CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	167.107	0.0	1	N/A	N/A	C=C(C)C1CC=C(C(=O)O)CC1	"""InChI=1S/C10H14O2/c1-7(2)8-3-5-9(6-4-8)10(11)12/h5,8H,1,3-4,6H2,2H3,(H,11,12)/t8-/m1/s1"""	N/A	3	Positive	BERKELEY-LAB	167.107	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H14O2	CDSMSBUVCWHORP-UHFFFAOYSA-N	CDSMSBUVCWHORP	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Monoterpenoids	Menthane monoterpenoids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010114693
CCMSLIB00005724305	682	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.984279	968226000.0	0	0.844925	12	0.000274658	325.068	1	temp/spectra_filtered.mgf682	1	Pyochelin	LC-ESI	Orbitrap	Isolated	Dawn R.D. Bignell	Jingyu Liu	M+H	325.068	324.06	1	 	443588	CN1C(CSC1C2CSC(=N2)C3=CC=CC=C3O)C(=O)O	InChI=1S/C14H16N2O3S2/c1-16-10(14(18)19)7-21-13(16)9-6-20-12(15-9)8-4-2-3-5-11(8)17/h2-5,9-10,13,17H,6-7H2,1H3,(H,18,19)/t9-,10+,13?/m1/s1	 	3	Positive	GNPS-LIBRARY	325.068	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C14H16N2O3S2	NYBZAGXTZXPYND-UHFFFAOYSA-N	NYBZAGXTZXPYND	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Serine alkaloids	Thiazole alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005724305
CCMSLIB00000207717	422	spectra_filtered.mgf	MASSBANK.mgf	0.984024	47269600.0	0	2.60884	6	0.000396729	152.071	1	temp/spectra_filtered.mgf422	1	Massbank:EA024310 Paracetamol|Acetaminophen|N-(4-hydroxyphenyl)acetamide	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	[M+H]+	152.071	0.0	1	103-90-2	N/A	CC(=O)NC1=CC=C(O)C=C1	1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)	N/A	3	Positive	MASSBANK	152.071	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C8H9NO2	RZVAJINKPMORJF-UHFFFAOYSA-N	RZVAJINKPMORJF	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000207717
CCMSLIB00003137398	67	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.982941	61921000.0	0	15.9003	9	0.0037384	235.119	1	temp/spectra_filtered.mgf67	1	Spectral Match to His-Pro from NIST14	ESI	qTof	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H-H2O	235.115	252.122	1	N/A	N/A	C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)N)C(=O)O	InChI=1S/C11H16N4O3/c12-8(4-7-5-13-6-14-7)10(16)15-3-1-2-9(15)11(17)18/h5-6,8-9H,1-4,12H2,(H,13,14)(H,17,18)/t8-,9-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	235.115	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C11H16N4O3	LNCFUHAPNTYMJB-IUCAKERBSA-N	LNCFUHAPNTYMJB	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137398
CCMSLIB00003138708	563	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.982675	142835000.0	0	1.75414	6	0.000549316	313.155	1	temp/spectra_filtered.mgf563	1	Spectral Match to Phe-Phe from NIST14	ESI	Ion Trap	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	313.154	312.147	1	2577404	N/A	C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N	InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)	N/A	3	Positive	GNPS-NIST14-MATCHES	313.154	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C18H20N2O3	GKZIWHRNKRBEOH-UHFFFAOYSA-N	GKZIWHRNKRBEOH	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138708
