#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
192	spectra_filtered.mgf	*..*		:408	885	-1	0	166.083	1	0.993759	0	0	62554700.0	3295160000.0	Spectral Match to DL-Phenylalanine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf192	-1	GNPS-NIST14-MATCHES.mgf	19.3855				6	0	0.0032196	166.086	0	CCMSLIB00003135371
393	spectra_filtered.mgf	*..*		:1236	2120	-1	0	245.186	1	0.993705	0	0	13830300.0	616873000.0	Spectral Match to Ile-Leu from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf393	-1	GNPS-NIST14-MATCHES.mgf	0.933503				6	0	0.000228882	245.186	0	CCMSLIB00003136607
321	spectra_filtered.mgf	*..*		:408	885	-1	0	166.083	1	0.993623	0	0	62554700.0	20833300.0	Spectral Match to DL-Phenylalanine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf321	-1	GNPS-NIST14-MATCHES.mgf	19.3855				6	0	0.0032196	166.086	0	CCMSLIB00003135371
597	spectra_filtered.mgf	*..*		:2041	4115	-1	0	213.16	1	0.989971	0	0	18493700.0	13328500.0	Spectral Match to Val-Leu from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf597	-1	GNPS-NIST14-MATCHES.mgf	0.787421				10	0	0.000167847	213.16	0	CCMSLIB00003138602
857	spectra_filtered.mgf	*..*		:8563	283	-1	0	185.081	1	0.988285	0	0	9596610.0	54060600.0	Asperlactone M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf857	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	515.439				8	0	0.0953979	184.986	0	CCMSLIB00011906249
600	spectra_filtered.mgf	*..*		:12259	12705	-1	0	167.107	1	0.986015	0	0	7344730.0	4994160.0	(S)-(-)-Perillic acid CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf600	-1	BERKELEY-LAB.mgf	563.757				6	0	0.0942078	167.013	0	CCMSLIB00010114693
682	spectra_filtered.mgf	*..*		:2960	6818	-1	0	325.068	1	0.984279	0	0	1772840000.0	968226000.0	Pyochelin M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf682	-1	GNPS-LIBRARY.mgf	0.844925				12	0	0.000274658	325.068	0	CCMSLIB00005724305
422	spectra_filtered.mgf	*..*		:2976	2976	-1	0	152.071	1	0.984024	0	0	972652.0	47269600.0	Massbank:EA024310 Paracetamol|Acetaminophen|N-(4-hydroxyphenyl)acetamide [M+H]+	MASSBANK	temp/spectra_filtered.mgf422	-1	MASSBANK.mgf	2.60884				6	0	0.000396729	152.071	0	CCMSLIB00000207717
67	spectra_filtered.mgf	*..*		:186	2911	-1	0	235.115	1	0.982941	0	0	2418390.0	61921000.0	Spectral Match to His-Pro from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf67	-1	GNPS-NIST14-MATCHES.mgf	15.9003				9	0	0.0037384	235.119	0	CCMSLIB00003137398
563	spectra_filtered.mgf	*..*		:1094	4221	-1	0	313.154	1	0.982675	0	0	2847140.0	142835000.0	Spectral Match to Phe-Phe from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf563	-1	GNPS-NIST14-MATCHES.mgf	1.75414				6	0	0.000549316	313.155	0	CCMSLIB00003138708
