cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:M1	ATTRIBUTE_condition:GNPSGROUP:PA14	ATTRIBUTE_condition:GNPSGROUP:QC	ATTRIBUTE_condition:GNPSGROUP:media
1	142.94801883680057	0.22410153	46674702.333333336	43470275.333333336	41836026.333333336	43281153.2
2	164.92992190077595	0.23256929	36412905.0	30002816.666666668	43513874.0	21426301.2
4	180.90377915736784	0.241476	14424942.833333334	11812411.333333334	14512814.0	8753440.3
3	169.0946581484051	0.2426436	0.0	20074718.0	0.0	17743924.8
14	382.86562122767833	0.24585928	8957160.666666666	0.0	7511444.0	0.0
43	175.11879013231035	0.2463033	0.0	0.0	36326184.0	214052442.0
7	219.0263704497017	0.24644226	0.0	46766805.333333336	16604096.5	45429824.8
8	203.05240918352425	0.2484539	0.0	350448641.6666667	103783790.0	333885842.0
9	185.04198858091644	0.24963875	0.0	26461083.333333332	0.0	64917239.2
10	138.0524287944269	0.25374514	0.0	0.0	23994066.333333332	152159676.0
11	272.1714198979163	0.2558918	0.0	0.0	0.0	34332047.6
12	265.11144929901565	0.25655586	44193022.666666664	39237622.666666664	31909377.333333332	45936398.4
6	170.04233184513828	0.2581196	30457295.0	11904532.833333334	3530524.1666666665	15618435.0
13	231.133737517522	0.26005387	0.0	0.0	0.0	30428698.0
15	263.10576654518616	0.26533955	0.0	100111379.33333333	27291207.666666668	83190404.0
17	187.10749051550863	0.2676659	0.0	0.0	21498549.666666668	92111302.0
16	246.18101531927823	0.2678048	11144969.083333334	23676694.333333332	34002297.333333336	218715918.0
30	130.08629480157546	0.26791078	11408761.833333334	19265824.416666668	8781865.0	27930459.6
24	148.0603044712165	0.26857176	0.0	25272639.0	12176547.5	15532484.6
18	245.1130282624894	0.26890236	12005188.5	177093221.66666666	60788447.333333336	143241070.0
19	139.05018291462926	0.27241978	0.0	15970204.5	0.0	0.0
21	219.13366343450664	0.27509347	0.0	0.0	22843268.666666668	143070830.0
26	158.02463470246678	0.28872523	23454408.0	0.0	6331073.0	0.0
27	348.07019691072	0.2890755	5524495.5	39765853.666666664	3513615.0	0.0
25	291.14234846299803	0.2895481	0.0	4199006.416666667	3651984.8333333335	25467345.2
