CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
252	468	1	0.946	-34.021
468	496	1	0.9446	63.995
468	578	1	0.9532	49.979
149	572	1	0.9167	15.011
428	512	1	0.9246	-14.016
370	397	1	0.9518	-2.016
397	496	1	0.9029	-14.016
397	501	1	0.9647	-0.000
135	449	1	0.966	15.958
292	449	1	0.9029	-16.031
370	449	1	0.9853	-14.016
449	542	1	0.9424	-66.011
449	543	1	0.9738	-14.016
449	562	1	0.9324	-0.000
449	570	1	0.9664	-14.016
449	578	1	0.9579	-16.032
449	613	1	0.9709	-14.016
419	610	1	0.9046	20.026
423	610	1	0.9143	0.057
427	610	1	0.8986	73.074
500	610	1	0.9285	-74.016
559	610	1	0.8873	18.011
588	610	1	0.8982	-97.053
589	610	1	0.8883	32.027
591	610	1	0.9201	-33.984
168	441	1	0.887	165.042
297	441	1	0.9313	-66.011
304	441	1	0.9596	-34.021
373	441	1	0.9742	-14.016
418	441	1	0.8957	57.022
441	509	1	0.8938	-99.069
191	409	1	0.9074	-62.016
254	409	1	0.9097	-99.068
409	561	1	0.9322	-48.000
561	568	1	0.891	32.023
176	270	1	0.9423	-97.052
176	304	1	0.9752	-14.015
176	373	1	0.9571	-34.021
176	567	1	0.8867	-115.078
135	252	1	0.9428	-16.031
252	454	1	0.9042	-48.000
252	496	1	0.9612	29.974
252	578	1	0.9586	15.958
440	630	1	0.8857	-10.010
454	630	1	0.9046	15.958
543	630	1	0.9293	-50.016
570	630	1	0.9344	-50.016
578	630	1	0.9194	-48.000
580	630	1	0.893	-42.047
588	630	1	0.8886	-16.031
613	630	1	0.9531	-50.016
289	303	1	0.9107	-2.016
496	578	1	0.9844	-14.016
542	578	1	0.9606	49.979
547	578	1	0.9013	29.974
562	578	1	0.9179	-16.031
578	598	1	0.9326	-14.015
135	562	1	0.9429	15.958
158	562	1	0.9573	-42.047
370	562	1	0.9456	-14.016
542	562	1	0.9105	66.011
543	562	1	0.935	14.016
562	570	1	0.9435	-14.016
562	588	1	0.9305	-48.000
562	613	1	0.94	-14.016
290	509	1	0.9479	-49.021
418	509	1	0.9569	-42.047
509	545	1	0.972	63.995
246	559	1	0.8915	-33.985
367	559	1	0.8954	33.984
419	559	1	0.9037	2.016
423	559	1	0.8948	-17.953
427	559	1	0.8829	55.063
500	559	1	0.9251	-92.026
559	589	1	0.9796	-14.016
559	595	1	0.9626	-33.985
373	567	1	0.8966	-81.058
355	362	1	0.9724	-63.995
355	367	1	0.9748	-31.969
355	494	1	0.8906	133.109
355	595	1	0.8947	-31.969
246	289	1	0.9673	-2.016
246	589	1	0.9019	-48.001
570	588	1	0.8952	-33.985
588	613	1	0.8889	33.985
547	576	1	0.8913	14.016
576	598	1	0.8925	1.943
373	418	1	0.9019	-71.037
418	500	1	0.9774	49.979
344	383	1	0.9419	-33.984
383	454	1	0.9231	49.980
521	598	1	0.964	-14.016
