CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
11	23	-2.016	0.000	0.8492	0.6893	1
11	38	-13.979	0.000	0.7057	0.5852	1
11	42	-99.068	0.000	0.8024	0.6216	1
11	44	-16.031	0.000	0.7522	0.5754	1
11	45	-16.031	0.000	0.8865	0.7053	1
11	58	-66.010	0.000	0.8804	0.6773	1
11	85	-50.016	0.000	0.8814	0.7608	1
11	86	-113.084	0.000	0.8271	0.7060	1
11	89	-113.084	0.000	0.8046	0.6191	1
11	105	-16.031	0.000	0.8950	0.7022	1
11	121	-50.016	0.000	0.8668	0.6822	1
11	145	-16.031	0.000	0.8806	0.6825	1
11	179	-50.016	0.000	0.8550	0.6449	1
11	414	-54.036	0.000	0.7929	0.5654	1
11	494	-88.021	0.000	0.7527	0.5203	1
15	57	45.988	0.000	0.7010	0.4975	1
15	98	-16.031	0.000	0.8439	0.7589	1
15	151	15.995	0.000	0.7365	0.5993	1
15	183	-50.016	0.000	0.8736	0.7589	1
15	276	-81.075	0.000	0.7016	0.4847	1
15	293	9.988	0.000	0.7116	0.6379	1
15	326	-4.028	0.000	0.7116	0.6197	1
15	406	-95.091	0.000	0.7030	0.4664	1
15	557	-2.049	0.000	0.7132	0.4992	1
16	20	-14.016	0.000	0.7688	0.7713	1
16	51	-63.995	0.000	0.9520	0.8172	1
16	65	-48.000	0.000	0.8111	0.7917	1
16	68	-15.019	0.000	0.7122	0.7282	1
16	79	-143.058	0.000	0.7256	0.4238	1
16	88	-85.052	0.000	0.7446	0.5513	1
16	113	-14.016	0.000	0.9756	0.9209	1
16	157	-48.000	0.000	0.9579	0.8524	1
16	275	-113.084	0.000	0.7863	0.6110	1
16	315	-177.079	0.000	0.7700	0.5022	1
16	338	-113.084	0.000	0.7505	0.6560	1
16	340	-113.084	0.000	0.7415	0.6224	1
16	366	-357.153	0.000	0.7293	0.4308	1
16	375	-127.100	0.000	0.7566	0.5502	1
20	45	-28.006	0.000	0.7177	0.4619	1
20	51	-49.979	0.000	0.7266	0.7524	1
20	65	-33.984	0.000	0.9817	0.9180	1
20	68	-1.003	0.000	0.7774	0.6668	1
20	98	-18.940	0.000	0.7224	0.5088	1
20	100	-0.948	0.000	0.7691	0.7382	1
20	113	0.000	0.000	0.7479	0.7721	1
20	157	-33.984	0.000	0.7305	0.7789	1
20	306	-147.068	0.000	0.7187	0.5033	1
20	365	-34.968	0.000	0.7188	0.7202	1
20	547	-114.032	0.000	0.7018	0.7328	1
20	598	-98.073	0.000	0.7020	0.6834	1
21	31	-27.995	0.000	0.9504	0.8743	1
21	53	-31.972	0.000	0.8036	0.7124	1
21	93	-14.016	0.000	0.9888	0.9325	1
21	125	-0.000	0.000	0.8633	0.6340	1
21	174	-48.000	0.000	0.9851	0.8243	1
21	183	-93.988	0.000	0.7129	0.6246	1
21	250	-29.993	0.000	0.9471	0.7142	1
21	356	-12.037	0.000	0.9777	0.8828	1
21	397	-97.089	0.000	0.8287	0.7798	1
22	29	0.049	0.000	0.9832	0.8548	1
22	60	0.000	0.000	0.7435	0.8396	1
22	92	0.052	0.000	0.7270	0.6823	1
22	146	-71.037	0.000	0.7678	0.6597	1
22	150	-71.037	0.000	0.7972	0.6841	1
22	165	18.010	0.000	0.7074	0.8340	1
22	238	18.011	0.000	0.7064	0.8337	1
22	327	40.042	0.000	0.8072	0.7434	1
22	408	1.032	0.000	0.8340	0.6884	1
22	440	-113.084	0.000	0.7464	0.6972	1
22	443	-113.084	0.000	0.7557	0.8020	1
23	38	-11.964	0.000	0.7953	0.7624	1
23	42	-97.053	0.000	0.8762	0.7163	1
23	44	-14.016	0.000	0.8492	0.5992	1
23	45	-14.016	0.000	0.9572	0.9253	1
23	54	-99.069	0.000	0.8603	0.7669	1
23	58	-63.995	0.000	0.8933	0.8229	1
23	85	-48.000	0.000	0.9473	0.8634	1
23	89	-111.068	0.000	0.8485	0.7046	1
23	105	-14.016	0.000	0.8852	0.8809	1
23	121	-48.000	0.000	0.9506	0.8899	1
23	145	-14.016	0.000	0.9016	0.9055	1
23	176	-69.995	0.000	0.7519	0.5652	1
23	179	-48.000	0.000	0.9353	0.8520	1
23	247	-127.100	0.000	0.7052	0.5882	1
23	490	-12.984	0.000	0.7561	0.6561	1
24	113	-112.136	0.000	0.7445	0.4546	1
29	60	-0.049	0.000	0.7555	0.7757	1
29	92	0.003	0.000	0.7463	0.6778	1
29	150	-71.086	0.000	0.8053	0.6321	1
29	165	17.961	0.000	0.7139	0.7429	1
29	238	17.961	0.000	0.7069	0.7198	1
29	327	39.993	0.000	0.7840	0.6223	1
29	408	0.982	0.000	0.8288	0.6247	1
29	440	-113.133	0.000	0.7578	0.6761	1
29	443	-113.133	0.000	0.7771	0.7532	1
31	68	-14.072	0.000	0.7761	0.7986	1
31	95	-63.995	0.000	0.9173	0.7691	1
31	100	-14.016	0.000	0.9684	0.8226	1
31	125	27.995	0.000	0.8269	0.6573	1
31	206	-48.000	0.000	0.9485	0.7848	1
31	250	-1.998	0.000	0.9219	0.6968	1
31	309	14.955	0.000	0.7183	0.6037	1
31	330	-34.021	0.000	0.8684	0.5671	1
31	338	-112.137	0.000	0.7301	0.6382	1
31	356	15.958	0.000	0.9159	0.7609	1
31	397	-69.094	0.000	0.8282	0.7692	1
31	501	-69.094	0.000	0.8478	0.7514	1
31	529	15.958	0.000	0.7655	0.7271	1
33	36	45.058	0.000	0.8752	0.7021	1
37	329	-60.987	0.000	0.8051	0.5228	1
37	611	-24.984	0.000	0.7252	0.5443	1
38	45	-2.052	0.000	0.7823	0.8737	1
38	58	-52.031	0.000	0.7857	0.8531	1
38	85	-36.036	0.000	0.7885	0.7357	1
38	105	-2.052	0.000	0.7304	0.7773	1
38	121	-36.036	0.000	0.8063	0.7814	1
38	145	-2.052	0.000	0.7399	0.7598	1
38	179	-36.036	0.000	0.8028	0.7856	1
38	490	-1.020	0.000	0.7883	0.7217	1
41	42	-185.116	0.000	0.7192	0.6270	1
41	43	11.005	0.000	0.7224	0.5325	1
41	56	-1.008	0.000	0.7263	0.8729	1
41	86	-199.132	0.000	0.7213	0.5503	1
42	44	83.037	0.000	0.8375	0.6197	1
42	45	83.037	0.000	0.8174	0.7080	1
42	54	-2.016	0.000	0.9137	0.8210	1
42	58	33.058	0.000	0.7965	0.6130	1
42	85	49.053	0.000	0.8329	0.7451	1
42	89	-14.016	0.000	0.9731	0.8805	1
42	105	83.037	0.000	0.7905	0.6232	1
42	121	49.053	0.000	0.8070	0.6803	1
42	124	-66.011	0.000	0.9164	0.7795	1
42	135	27.058	0.000	0.7727	0.5187	1
42	145	83.037	0.000	0.7893	0.6215	1
42	179	49.053	0.000	0.8088	0.5969	1
42	270	-69.994	0.000	0.8133	0.4710	1
42	292	59.048	0.000	0.7645	0.4816	1
42	370	57.033	0.000	0.7320	0.4992	1
42	449	43.017	0.000	0.7206	0.4953	1
42	490	84.069	0.000	0.7166	0.5772	1
43	145	-113.084	0.000	0.7100	0.4403	1
44	45	0.000	0.000	0.8510	0.6155	1
44	54	-85.053	0.000	0.7212	0.6046	1
44	58	-49.979	0.000	0.7624	0.5078	1
44	85	-33.984	0.000	0.8566	0.6381	1
44	89	-97.052	0.000	0.8150	0.5631	1
44	105	0.000	0.000	0.7420	0.5184	1
44	121	-33.984	0.000	0.8414	0.5618	1
44	145	0.000	0.000	0.7461	0.5185	1
44	179	-33.984	0.000	0.8010	0.4995	1
44	247	-113.084	0.000	0.8046	0.5490	1
44	249	-113.084	0.000	0.7898	0.5781	1
44	297	-38.004	0.000	0.7984	0.6637	1
44	304	-69.994	0.000	0.7514	0.6550	1
44	343	-147.068	0.000	0.7305	0.5022	1
44	352	-214.132	0.000	0.7066	0.5320	1
44	441	-104.015	0.000	0.7069	0.5368	1
44	452	-113.084	0.000	0.8041	0.5643	1
44	478	-147.068	0.000	0.7335	0.4742	1
44	490	1.032	0.000	0.7085	0.5183	1
45	54	-85.053	0.000	0.7838	0.7566	1
45	58	-49.979	0.000	0.8035	0.8301	1
45	85	-33.984	0.000	0.9624	0.8557	1
45	89	-97.053	0.000	0.8301	0.7300	1
45	105	-0.000	0.000	0.7706	0.8214	1
45	121	-33.984	0.000	0.9664	0.9101	1
45	145	-0.000	0.000	0.7836	0.8448	1
45	179	-33.984	0.000	0.8522	0.8331	1
45	247	-113.084	0.000	0.8920	0.7575	1
45	249	-113.084	0.000	0.8478	0.7360	1
45	297	-38.005	0.000	0.7313	0.5161	1
45	342	-147.069	0.000	0.7377	0.6022	1
45	343	-147.069	0.000	0.7296	0.5350	1
45	452	-113.084	0.000	0.8225	0.7112	1
45	453	-113.084	0.000	0.8385	0.6981	1
45	478	-147.069	0.000	0.7442	0.5719	1
45	490	1.031	0.000	0.7209	0.7644	1
45	592	17.001	0.000	0.7100	0.4944	1
46	173	-69.058	0.000	0.7469	0.7488	1
49	53	-101.047	0.000	0.8848	0.6647	1
49	59	-129.042	0.000	0.8150	0.5467	1
49	314	-97.049	0.000	0.7526	0.4885	1
50	56	1.992	0.000	0.7485	0.4441	1
50	97	-63.995	0.000	0.9439	0.6583	1
50	171	-28.031	0.000	0.9787	0.8607	1
50	280	-42.047	0.000	0.8976	0.7528	1
50	330	-92.026	0.000	0.8271	0.4784	1
50	356	-42.047	0.000	0.9596	0.8362	1
50	397	-127.100	0.000	0.7361	0.4810	1
50	448	-99.069	0.000	0.7463	0.5332	1
50	501	-127.100	0.000	0.7337	0.4716	1
50	529	-42.047	0.000	0.7198	0.5724	1
50	557	-76.031	0.000	0.9000	0.7067	1
51	65	15.995	0.000	0.7767	0.7758	1
51	79	-79.063	0.000	0.7668	0.4483	1
51	88	-21.058	0.000	0.7894	0.5296	1
51	113	49.979	0.000	0.9734	0.8460	1
51	157	15.995	0.000	0.9891	0.8983	1
51	268	-99.069	0.000	0.7348	0.5633	1
51	315	-113.084	0.000	0.8443	0.6259	1
51	366	-293.159	0.000	0.7160	0.3468	1
51	375	-63.105	0.000	0.7747	0.5119	1
53	57	33.987	0.000	0.7269	0.5035	1
53	59	-27.996	0.000	0.9116	0.7418	1
53	93	17.956	0.000	0.7804	0.6682	1
53	125	31.971	0.000	0.7302	0.6418	1
53	174	-16.028	0.000	0.7883	0.5995	1
53	486	-46.021	0.000	0.8993	0.6908	1
53	548	-12.036	0.000	0.7459	0.6392	1
