feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
857	107	Fatty acids	0.5	Coumarins	0.5	Dicarboxylic acids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q306140	KPGXRSRHYNQIFN-UHFFFAOYSA-N	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	O=C(O)CCC(=O)C(=O)O	C5H6O5	pos_1_1potassium	146.021523292	Hydron;2-oxopentanedioate	KPGXRSRHYNQIFN	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids	http://www.wikidata.org/entity/Q2738168	Pseudomonas putida	619502.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas putida']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
855	107	Fatty acids	0.5	Coumarins	0.5	Dicarboxylic acids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104194255	PBXVYKHISUQHKY-UHFFFAOYSA-N	InChI=1S/C10H5NO4/c1-11-6-2-5-3-7(12)8(13)4-9(5)15-10(6)14/h2-4,12-13H	[C-]#[N+]c1cc2cc(O)c(O)cc2oc1=O	C10H5NO4	pos_1_1sodium	203.02185764	6,7-Dihydroxy-3-isocyanochromen-2-one	PBXVYKHISUQHKY	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins	http://www.wikidata.org/entity/Q31856	Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']	['Pseudomonas aeruginosa']	7	2	8.0	1
852	119							1.0	0.5738786	ISDB									URMVFILWXLQJIP							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.2955143451690674	1
851	119							1.0	0.5719994	ISDB									URMVFILWXLQJIP							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.2879974842071533	1
850	119							1.0	0.5688335	ISDB									URMVFILWXLQJIP							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.275333881378174	1
848	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104975400	DCIJAGJQBHKBNH-IWRMTKMNSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h13,15,20-22,25-28,32-34H,4-12,14,16-19H2,1-3H3,(H,29,30)/b15-13+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCCCC/C=C/CC(CC(=O)OC(CCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ethylamine	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-5-enoyl]oxydecanoic acid	DCIJAGJQBHKBNH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
848	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105022873	GWXLTEUAMDVFFH-SBYIBVSJSA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-16-21(18-23(29)30)36-24(31)19-22(17-14-12-9-7-5-2)37-28-27(34)26(33)25(32)20(3)35-28/h12,14,20-22,25-28,32-34H,4-11,13,15-19H2,1-3H3,(H,29,30)/b14-12+/t20-,21?,22?,25-,26+,27+,28-/m0/s1	CCCC/C=C/CC(CC(=O)OC(CCCCCCCCC)CC(=O)O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ethylamine	530.34548318	3-[(E)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydec-5-enoyl]oxydodecanoic acid	GWXLTEUAMDVFFH	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
848	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q110170839	XJGPJMVYQFDHEG-HFDPWBFESA-N	InChI=1S/C28H50O9/c1-4-6-8-10-11-13-15-17-22(37-28-27(34)26(33)25(32)20(3)35-28)19-24(31)36-21(18-23(29)30)16-14-12-9-7-5-2/h10-11,20-22,25-28,32-34H,4-9,12-19H2,1-3H3,(H,29,30)/b11-10-/t20-,21?,22?,25-,26+,27+,28?/m0/s1	CCCC/C=C\CCCC(CC(=O)OC(CCCCCCC)CC(=O)O)OC1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C28H50O9	pos_1_1proton1ethylamine	530.34548318	3-[(Z)-3-[(3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydodec-7-enoyl]oxydecanoic acid	XJGPJMVYQFDHEG	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	3	7.5	1
844	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.40989003	ISDB									CARLURCVFKTIGN							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.6395601034164429	1
842	5	Fatty acids	0.38461538461538464	Fatty acyl glycosides	0.2564102564102564	Rhamnolipids	0.2564102564102564	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105212961	PPMPLIBYTIWXPG-TXRCGMDISA-N	InChI=1S/C26H48O9/c1-4-6-8-10-12-14-19(16-21(27)28)34-22(29)17-20(15-13-11-9-7-5-2)35-26-25(32)24(31)23(30)18(3)33-26/h18-20,23-26,30-32H,4-17H2,1-3H3,(H,27,28)/t18-,19+,20+,23-,24+,25+,26-/m0/s1	CCCCCCC[C@H](CC(=O)O)OC(=O)C[C@@H](CCCCCCC)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O	C26H48O9	pos_1_1proton1ethylamine	504.329833116	(3R)-3-[(3R)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydecanoyl]oxydecanoic acid	PPMPLIBYTIWXPG	Fatty acids	Fatty acyl glycosides	Rhamnolipids	http://www.wikidata.org/entity/Q31856	Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']	['Pseudomonas aeruginosa']	7	3	8.5	1
