row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak height,171103_PMA_TK_M1_02.mzML Peak height,171103_PMA_TK_M1_03.mzML Peak height,171103_PMA_TK_M1_04.mzML Peak height,171103_PMA_TK_M1_05.mzML Peak height,171103_PMA_TK_M1_06.mzML Peak height,171103_PMA_TK_PA14_01.mzML Peak height,171103_PMA_TK_PA14_02.mzML Peak height,171103_PMA_TK_PA14_03.mzML Peak height,171103_PMA_TK_PA14_04.mzML Peak height,171103_PMA_TK_PA14_05.mzML Peak height,171103_PMA_TK_PA14_06.mzML Peak height,171103_PMA_TK_QC_03.mzML Peak height,171103_PMA_TK_QC_04.mzML Peak height,171103_PMA_TK_QC_05.mzML Peak height,171103_PMA_TK_QC_06.mzML Peak height,171103_PMA_TK_QC_07.mzML Peak height,171103_PMA_TK_QC_08.mzML Peak height,171103_PMA_TK_media_02.mzML Peak height,171103_PMA_TK_media_03.mzML Peak height,171103_PMA_TK_media_04.mzML Peak height,171103_PMA_TK_media_05.mzML Peak height,171103_PMA_TK_media_06.mzML Peak height,
1,142.94801883680057,0.22410153,,,,,,,,,,,4.616254E7,4.955178E7,4.465046E7,4.46825E7,4.6410664E7,4.859027E7,4.7462296E7,4.1256404E7,4.4311416E7,4.0098852E7,4.4238704E7,4.345398E7,4.3006356E7,3.680033E7,4.7469596E7,4.1277204E7,4.2967156E7,3.9495516E7,5.3880464E7,4.3142256E7,3.4663384E7,4.535733E7,3.9362332E7,
2,164.92992190077595,0.23256929,,,,,,,,,,,4.3333588E7,0,4.406317E7,4.3711628E7,4.6930748E7,4.0438296E7,3.7238972E7,3.1143612E7,3.6199132E7,3.6500264E7,0,3.893492E7,5.024266E7,4.7997804E7,4.4972468E7,3.891201E7,4.2365172E7,3.659313E7,0,2.683359E7,2.2496776E7,3.0036926E7,2.7764214E7,
4,180.90377915736786,0.241476,,,,,,,,,,,1.4607284E7,1.4627077E7,1.4739687E7,1.4163742E7,1.5093781E7,1.3318086E7,1.2906939E7,1.0249272E7,1.1655849E7,1.1734633E7,1.2254312E7,1.2073463E7,1.6563244E7,1.5957149E7,1.4695192E7,1.3549184E7,1.3967923E7,1.2344192E7,8168528.5,8903345.0,8135369.0,9923148.0,8636811.0,
3,169.0946581484051,0.2426436,,,,,,,,,,,0,0,0,0,0,0,1.9297486E7,2.2235998E7,1.6214254E7,1.7070318E7,2.5092588E7,2.0537664E7,0,0,0,0,0,0,2.3943488E7,1.891781E7,0,2.263699E7,2.3221336E7,
14,382.86562122767833,0.24585928,,,,,,,,,,,0,1.1360764E7,0,1.9375818E7,2.3006382E7,0,0,0,0,0,0,0,1.6061445E7,1.6847682E7,0,0,1.2159537E7,0,0,0,0,0,0,
43,175.11879013231035,0.2463033,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3.913793E7,3.863426E7,3.851802E7,3.4731516E7,3.3597796E7,3.3337582E7,2.215681E8,2.1618296E8,2.1453616E8,2.1572984E8,2.0224515E8,
7,219.02637044970174,0.24644226,,,,,,,,,,,0,0,0,0,0,0,4.9683656E7,5.3821456E7,4.320437E7,4.060174E7,4.451277E7,4.877684E7,1.9424238E7,1.919277E7,1.7859786E7,1.7770616E7,1.2706594E7,1.2670575E7,4.5054484E7,4.630248E7,5.2151068E7,4.5484012E7,3.815708E7,
8,203.05240918352425,0.2484539,,,,,,,,,,,0,0,0,0,0,0,3.6945085E8,3.7261392E8,3.1752768E8,3.1230896E8,3.572865E8,3.7350394E8,1.18852744E8,1.1217859E8,1.1610433E8,1.00288536E8,8.60717E7,8.920684E7,3.4099763E8,3.447439E8,3.585494E8,3.29881E8,2.9525728E8,
9,185.04198858091644,0.24963875,,,,,,,,,,,0,0,0,0,0,0,2.3260386E7,3.554104E7,2.291492E7,2.284985E7,3.5763788E7,1.8436516E7,0,0,0,0,0,0,7.10988E7,5.5579384E7,6.923011E7,6.662509E7,6.2052812E7,
10,138.0524287944269,0.25374514,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2.2554394E7,2.4434922E7,2.5828076E7,2.4509516E7,2.5312494E7,2.1324996E7,1.622333E8,1.5003778E8,1.756547E8,1.2963074E8,1.4324186E8,
11,272.1714198979163,0.2558918,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27556E7,3.2662382E7,4.4972564E7,3.2162422E7,2.910727E7,
12,265.11144929901565,0.25655586,,,,,,,,,,,5.0154164E7,4.0341436E7,5.033585E7,3.2888042E7,3.726408E7,5.4174564E7,4.1348576E7,4.1013144E7,3.8289804E7,3.6529852E7,3.921158E7,3.903278E7,3.9716604E7,3.382175E7,3.315539E7,2.776394E7,2.9039488E7,2.7959092E7,5.1207644E7,4.914773E7,5.6518092E7,3.6216976E7,3.659155E7,
6,170.04233184513828,0.2581196,,,,,,,,,,,2.9458614E7,2.8719586E7,3.7430596E7,2.5985416E7,2.7600664E7,3.3548894E7,1.4526574E7,1.2545179E7,1.0492099E7,9158063.0,1.237666E7,1.2328622E7,0,1.127785E7,9905295.0,0,0,0,1.4918969E7,1.4223163E7,1.5722192E7,1.8219468E7,1.5008383E7,
13,231.133737517522,0.26005387,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325711E7,2.589787E7,3.3030736E7,2.803418E7,3.1923594E7,
15,263.10576654518616,0.26533955,,,,,,,,,,,0,0,0,0,0,0,1.33058216E8,9.834944E7,6.976047E7,9.268829E7,1.186171E8,8.819476E7,3.2361748E7,3.2868934E7,2.7194856E7,2.2950034E7,2.6565756E7,2.1805918E7,7.523025E7,7.03345E7,7.266788E7,1.0826158E8,8.945781E7,
17,187.10749051550866,0.2676659,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2.43072E7,2.5890236E7,2.0665302E7,1.8822842E7,2.158245E7,1.7723268E7,9.031971E7,9.006162E7,9.738574E7,9.130156E7,9.148788E7,
16,246.18101531927826,0.2678048,,,,,,,,,,,1.1680132E7,1.0346642E7,1.2548241E7,8370374.5,1.097282E7,1.2951605E7,2.7984726E7,2.7260662E7,1.8612286E7,1.9690456E7,2.5614514E7,2.2897522E7,5.170937E7,4.7268428E7,3.481166E7,2.5326576E7,2.3981376E7,2.0916374E7,2.5449237E8,2.2723386E8,2.199867E8,1.9994296E8,1.919237E8,
30,130.08629480157546,0.26791078,,,,,,,,,,,1.165391E7,1.1276658E7,1.1416763E7,1.0351277E7,1.0869813E7,1.288415E7,2.4139336E7,8275633.5,1.5427734E7,2.196985E7,3.0892282E7,1.4890111E7,7982745.0,8641339.0,9016692.0,9284977.0,9319050.0,8446387.0,0,3.4096732E7,3.7634136E7,3.401104E7,3.391039E7,
24,148.0603044712165,0.26857176,,,,,,,,,,,0,0,0,0,0,0,3.5425236E7,3.149955E7,2.2011912E7,1.7309914E7,1.9862964E7,2.5526258E7,1.4707922E7,1.2860581E7,1.1575565E7,1.233664E7,1.0831638E7,1.0746939E7,1.587277E7,1.4552207E7,1.4626228E7,1.7938122E7,1.4673096E7,
18,245.1130282624894,0.26890236,,,,,,,,,,,1.4716601E7,1.3402515E7,0,1.240582E7,1.5142145E7,1.636405E7,1.881477E8,1.8068203E8,1.6391709E8,1.3814685E8,1.7854931E8,2.1311635E8,7.039098E7,7.917921E7,5.826271E7,5.0788444E7,5.5992116E7,5.0117224E7,1.3630814E8,1.3687734E8,1.4098722E8,1.5703942E8,1.4499323E8,
19,139.05018291462926,0.27241978,,,,,,,,,,,0,0,0,0,0,0,1.4132936E7,2.0073986E7,1.3688252E7,1.3986163E7,1.7036968E7,1.6902922E7,0,0,0,0,0,0,0,0,0,0,0,
21,219.13366343450662,0.27509347,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2.3699206E7,2.4939404E7,2.5629624E7,2.1273772E7,2.148322E7,2.0034386E7,1.4353262E8,1.400074E8,1.722342E8,1.2946064E8,1.3011929E8,
26,158.02463470246678,0.28872523,,,,,,,,,,,2.2672756E7,2.3573664E7,2.5034976E7,2.2712164E7,2.304561E7,2.3687278E7,0,0,0,0,0,0,1.0327456E7,1.0429089E7,8849294.0,8380599.0,0,0,0,0,0,0,0,
27,348.07019691072,0.2890755,,,,,,,,,,,0,0,0,1.1500676E7,9293357.0,1.235294E7,4.9268068E7,5.234529E7,3.4188936E7,3.0673522E7,3.5998076E7,3.612123E7,1.0663424E7,1.0418266E7,0,0,0,0,0,0,0,0,0,
25,291.14234846299803,0.2895481,,,,,,,,,,,0,0,0,0,0,0,1.0117603E7,0,6896326.0,0,0,8180109.5,1.1825532E7,1.0086377E7,0,0,0,0,2.8205574E7,3.2410972E7,2.5542102E7,2.187598E7,1.9302098E7,
22,269.160539897371,0.29009056,,,,,,,,,,,2.3310222E7,1.8146382E7,1.7861356E7,1.2967858E7,2.2010656E7,2.7598078E7,2.1000955E8,2.1204469E8,1.5075752E8,1.5435672E8,1.897907E8,1.8134786E8,1.353076E8,1.1626284E8,9.245276E7,7.383853E7,7.627533E7,8.515264E7,6.0192384E8,6.202102E8,6.2338195E8,5.505715E8,5.4321594E8,
20,260.19673799870486,0.29149798,,,,,,,,,,,0,1.4785265E7,0,1.2339585E7,1.5791536E7,1.9746892E7,4.951658E7,5.498881E7,3.8029932E7,3.5391664E7,4.6859244E7,4.4267124E7,4.1647996E7,3.7085884E7,3.1805994E7,2.4325224E7,2.6214708E7,2.7410688E7,1.9064707E8,1.8337203E8,2.1018704E8,1.74135E8,1.734017E8,
31,247.12862908053788,0.2963268,,,,,,,,,,,1.3054439E7,8531305.0,9056735.0,0,0,1.1105888E7,9.67283E7,8.442185E7,6.1575596E7,5.890944E7,7.533339E7,7.548811E7,2.7724954E7,3.2132168E7,2.7929168E7,2.83351E7,2.3191268E7,2.5554022E7,1.0711351E8,1.1226037E8,1.1508241E8,1.013841E8,9.477267E7,
32,162.0501094547666,0.30393255,,,,,,,,,,,0,0,0,0,0,0,9434708.0,7991334.0,9058120.0,8636416.0,9247236.0,1.0121744E7,0,0,0,0,0,0,6381328.5,6833869.0,6418605.0,6234514.5,0,
23,274.1869727542943,0.31156906,,,,,,,,,,,0,0,0,0,0,0,2.9076124E7,3.0128916E7,2.227636E7,2.1086164E7,2.7881874E7,2.5052344E7,5.04471E7,4.9719148E7,4.121533E7,3.6207856E7,3.484985E7,3.40548E7,3.0484774E8,2.7166637E8,3.0340138E8,2.3240571E8,2.53532E8,
34,338.14319208602143,0.3120601,,,,,,,,,,,1.1580815E8,1.2091616E8,1.2323674E8,1.15990616E8,1.21760536E8,1.379908E8,1.1955357E7,8833358.0,6870843.5,6226310.5,8838923.0,8886045.0,1.1352857E8,9.8846904E7,7.713582E7,7.252109E7,7.152452E7,6.785069E7,0,0,0,0,0,
35,354.1170456017642,0.31255445,,,,,,,,,,,3.1144282E7,3.0162318E7,3.3143308E7,2.7922884E7,2.9208856E7,3.9391664E7,0,0,0,0,0,0,2.9986184E7,2.6934528E7,2.172827E7,2.1184738E7,2.1460384E7,1.9366426E7,0,0,0,0,0,
36,316.1613404668096,0.31312546,,,,,,,,,,,4.251991E7,4.5513416E7,4.535173E7,4.2752784E7,4.6852492E7,5.066508E7,0,0,0,0,0,0,5.533896E7,4.7808972E7,3.780749E7,3.550034E7,3.6015984E7,3.226406E7,0,0,0,0,0,
37,202.15484473911295,0.31426403,,,,,,,,,,,3.7347576E7,3.6954024E7,4.0113748E7,3.7282616E7,3.826255E7,4.038676E7,0,0,0,0,0,0,2.3491838E7,2.1322828E7,2.0061312E7,1.9936968E7,1.7130188E7,1.8258944E7,0,0,0,0,0,
33,361.21939726414445,0.31478083,,,,,,,,,,,8448730.0,1.0175308E7,9537482.0,1.2263263E7,1.2479228E7,8645736.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,269.11133300339765,0.317835,,,,,,,,,,,0,0,0,0,0,0,2.9497514E7,2.1161938E7,1.6663402E7,1.4992784E7,2.0290818E7,2.0192532E7,0,9951171.0,8417090.0,0,0,0,1.8345576E7,2.0467502E7,1.8832534E7,2.0174214E7,1.6948998E7,
38,286.1507502708131,0.31856441,,,,,,,,,,,2.9197834E7,2.600874E7,2.6581836E7,2.2835696E7,3.0134522E7,3.230027E7,6.5749972E7,4.0865524E7,2.7463596E7,3.0071242E7,4.258426E7,4.445859E7,3.68842E7,3.3682024E7,2.3443306E7,2.2964088E7,2.5232196E7,2.2466928E7,6.403993E7,6.3818916E7,6.487441E7,4.841204E7,4.4441904E7,
39,265.1217751411842,0.3188666,,,,,,,,,,,0,0,0,0,0,0,4.561951E7,2.7881512E7,1.4347037E7,1.926739E7,2.5375888E7,3.69692E7,0,0,0,0,0,0,3.551076E7,3.863774E7,3.9824144E7,3.0506272E7,3.976402E7,
42,371.2397733371222,0.3254602,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078472E8,8.7436936E7,9.094319E7,8.267863E7,7.240372E7,
