formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	Fatty acids	0.102	Fatty Acids and Conjugates	0.008	Halogenated fatty acids	0.084	Organometallic compounds	0.998	Organometalloid compounds	0.998	Organoarsenic compounds	0.996	Pentavalent organic arsenic compounds	0.820	Pentaorganoarsanes	0.820	Organic compounds; Organoarsenic compounds; Organometallic compounds; Organometalloid compounds; Organic salts; Organic oxides; Arsine oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Alkylarsine oxides; Chemical entities	142.948	13	0.223	713686937042382982	713686807140588016	1	
1	C7H6BrCl2F3O4	[M + Na]+	C7H6BrCl2F3NaO4+	Polyketides	0.142	Phenolic acids (C6-C1)	0.231	Simple phenolic acids	0.162	Benzenoids	0.987	Phenol ethers	0.803					Phenol ethers	0.803	Organic compounds; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl bromides; Aryl chlorides; Bromobenzenes; Chlorobenzenes; Organobromides; Organochlorides; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organic oxygen compounds; Phenoxy compounds; Chemical entities	382.866	14	0.237	713686935209471859	713686807551629824	14	
1	C6H13NO3	[M - H2O + H]+	C6H12NO2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.955	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.086	15	0.242	713686919082370819	713686808579234356	30	
1	C4H11O8P	[M + H]+	C4H12O8P+	Carbohydrates	0.722	Polyols	0.314	Fatty alcohols	0.364	Organic oxygen compounds	1.000	Organooxygen compounds	0.994	Carbohydrates and carbohydrate conjugates	0.616	Monosaccharides	0.648	Monosaccharides	0.648	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monosaccharides; Secondary alcohols; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	219.026	15	0.245	713686924526578105	713686807740373512	7	
1	C6H11N3O2	[M + H3N + H]+	C6H15N4O2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.884	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	175.119	15	0.246	713686919690544922	713686807656487428	43	
1	C5H9NO2	[M + Na]+	C5H9NNaO2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Alpha amino acids	0.906	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138.053	15	0.253	713686941987468113	713686807983643156	10	
1	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	Amino acids and Peptides	0.997	Small peptides	0.998	Dipeptides	0.986	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.998	Peptides	0.925	Dipeptides	0.857	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Amines; Secondary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	272.172	15	0.254	713686923524139278	713686808050752024	11	
1	C8H20NO7	[M + Na]+	C8H20NNaO7+	Amino acids and Peptides	0.934	Aminosugars and aminoglycosides	0.630	Aminosugars	0.488	Organic acids and derivatives	0.841	Carboxylic acids and derivatives	0.905	Amino acids, peptides, and analogues	0.850	Amino acids and derivatives	0.849	Alpha amino acids	0.698	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.112	15	0.254	713686926955080500	713686808122055196	12	
1	C10H20N2O5	[M - H2O + H]+	C10H19N2O4+	Amino acids and Peptides	0.998	Small peptides	0.998	Dipeptides	0.971	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.994	Peptides	0.885	Dipeptides	0.751	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	231.134	16	0.258	713686924614658513	713686808256272932	13	
1	C5H6O4	[M + H3N + H]+	C5H10NO4+	Fatty acids	0.997	Fatty Acids and Conjugates	0.996	Dicarboxylic acids	0.994	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Dicarboxylic acids and derivatives	0.807			Dicarboxylic acids and derivatives	0.807	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	148.060	16	0.263	713686919640213267	713686808726035000	24	
1	C5H8F3NO3	[M - H2O + H]+	C5H7F3NO2+	Amino acids and Peptides	0.897	Small peptides	0.824	Halogenated fatty acids	0.800	Organic acids and derivatives	0.983	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.629	Amino acids and derivatives	0.629	Amino acids and derivatives	0.629	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Halogenated fatty acids; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	170.042	16	0.265	713686921091442647	713686808193358368	6	
1	C10H15NO4S	[M + H3N + H]+	C10H19N2O4S+	Amino acids and Peptides	0.984	Small peptides	0.680	Aminoacids	0.386	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.978	Amino acids and derivatives	0.977	N-acyl-alpha amino acids	0.663	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	263.106	16	0.266	713686930184694954	713686808323381800	15	
1	C8H16N2O4	[M - H2O + H]+	C8H15N2O3+	Amino acids and Peptides	1.000	Small peptides	1.000	Dipeptides	0.998	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Peptides	0.994	Dipeptides	0.961	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Alanine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	187.107	16	0.268	713686920646846335	713686808453405228	17	
