formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	Fatty acids	0.102	Fatty Acids and Conjugates	0.008	Halogenated fatty acids	0.084	Organometallic compounds	0.998	Organometalloid compounds	0.998	Organoarsenic compounds	0.996	Pentavalent organic arsenic compounds	0.820	Pentaorganoarsanes	0.820	Organic compounds; Organoarsenic compounds; Organometallic compounds; Organometalloid compounds; Organic salts; Organic oxides; Arsine oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Alkylarsine oxides; Chemical entities	142.948	13	0.223	713686937042382982	713686807140588016	1	
2	C6H8O2	[M + H3N + H]+	C6H12NO2+	Fatty acids	0.992	Fatty Acids and Conjugates	0.971	Unsaturated fatty acids	0.896	Lipids and lipid-like molecules	0.679	Fatty Acyls	0.661	Fatty acids and conjugates	0.681	Unsaturated fatty acids	0.612	Unsaturated fatty acids	0.612	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	130.086	15	0.242	713686919082370818	713686808579234356	30	
1	C4H11O8P	[M + H]+	C4H12O8P+	Carbohydrates	0.722	Polyols	0.314	Fatty alcohols	0.364	Organic oxygen compounds	1.000	Organooxygen compounds	0.994	Carbohydrates and carbohydrate conjugates	0.616	Monosaccharides	0.648	Monosaccharides	0.648	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monosaccharides; Secondary alcohols; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	219.026	15	0.245	713686924526578105	713686807740373512	7	
3	C6H14N4O2	[M + H]+	C6H15N4O2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	L-alpha-amino acids	0.562	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	175.119	15	0.246	713686919690544921	713686807656487428	43	
2	C9H8F2O3	[M + H]+	C9H9F2O3+	Shikimates and Phenylpropanoids	0.590	Fatty Acids and Conjugates	0.314	Halogenated fatty acids	0.540	Benzenoids	0.692	Benzene and substituted derivatives	0.706					Benzene and substituted derivatives	0.706	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	203.052	15	0.249	713686925361244768	713686807828453900	8	
1	C5H9NO2	[M + Na]+	C5H9NNaO2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Alpha amino acids	0.906	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138.053	15	0.253	713686941987468113	713686807983643156	10	
1	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	Amino acids and Peptides	0.997	Small peptides	0.998	Dipeptides	0.986	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.998	Peptides	0.925	Dipeptides	0.857	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Amines; Secondary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	272.172	15	0.254	713686923524139278	713686808050752024	11	
2	C10H18N2O4	[M + H]+	C10H19N2O4+	Amino acids and Peptides	1.000	Small peptides	1.000	Dipeptides	0.990	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Peptides	0.969	Dipeptides	0.916	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Secondary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	231.134	16	0.258	713686924614658511	713686808256272932	13	
1	C5H6O4	[M + H3N + H]+	C5H10NO4+	Fatty acids	0.997	Fatty Acids and Conjugates	0.996	Dicarboxylic acids	0.994	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Dicarboxylic acids and derivatives	0.807			Dicarboxylic acids and derivatives	0.807	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	148.060	16	0.263	713686919640213267	713686808726035000	24	
5	C3H5N7O3	[M - H2O + H]+	C3H4N7O2+	Alkaloids	0.690	Pseudoalkaloids (transamidation)	0.463	Purine alkaloids	0.491	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.998	Amines	0.539			Amines	0.539	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	170.042	16	0.265	713686921091442650	713686808193358368	6	
