formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	0.940	0.495	6.782	6.782	0.000	1	0.067	5.438	5.438	-125987.757		142.948	13	0.223	713686937042382982	713686807140588016	1	
1	C2HBrN2O2	[M + H]+	C2H2BrN2O2+	0.320	0.304	0.214	0.214	0.000	0	0.000	2.481	2.481	2.814		164.930	14	0.228	713686922156796061	713686807304165876	2	
1	C7H6BrCl2F3O4	[M + Na]+	C7H6BrCl2F3NaO4+	0.257	0.600	24.746	24.746	0.000	7	0.945	-2.920	3.491	-2.995		382.866	14	0.237	713686935209471859	713686807551629824	14	
1	C6H13NO3	[M - H2O + H]+	C6H12NO2+	0.633	0.333	21.284	21.284	0.000	5	0.990	9.175	9.175	-138449.587		130.086	15	0.242	713686919082370819	713686808579234356	30	
1	C4H3AsO	[M + K]+	C4H3AsKO+	0.813	0.815	0.143	0.143	0.000	0	0.000	3.083	3.083	3.182		180.904	15	0.243	713686921229854712	713686807388051960	4	
1	C5H11O5	[M + H3N + H]+	C5H15NO5+	0.679	0.225	6.420	6.420	0.000	0	0.000	1.402	1.402	1.248		169.095	15	0.243	713686919581492999	713686807471938044	3	
1	C4H11O8P	[M + H]+	C4H12O8P+	0.922	0.953	9.594	9.594	0.000	3	0.031	1.549	1.549	-0.207		219.026	15	0.245	713686924526578105	713686807740373512	7	
1	C6H11N3O2	[M + H3N + H]+	C6H15N4O2+	0.756	0.333	74.900	72.575	2.325	16	0.921	2.420	2.420	-0.926		175.119	15	0.246	713686919690544922	713686807656487428	43	
1	C6H12O6	[M + Na]+	C6H12NaO6+	0.961	0.966	13.924	9.030	4.895	1	0.012	-2.766	2.766	-0.979		203.052	15	0.249	713686925361244767	713686807828453900	8	
1	C6H10O5	[M + Na]+	C6H10NaO5+	0.896	0.898	7.307	4.414	2.894	0	0.000	1.123	1.123	-0.292		185.042	15	0.250	713686923662551330	713686807903951376	9	
1	C5H9NO2	[M + Na]+	C5H9NNaO2+	0.993	0.997	9.111	9.111	0.000	3	0.111	7.187	7.187	0.295		138.053	15	0.253	713686941987468113	713686807983643156	10	
1	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	0.978	0.333	54.456	54.456	0.000	12	0.413	1.208	1.653	-0.059		272.172	15	0.254	713686923524139278	713686808050752024	11	
1	C8H20NO7	[M + Na]+	C8H20NNaO7+	0.995	0.993	33.747	33.747	0.000	12	0.470	2.740	2.939	-5.574		265.112	15	0.254	713686926955080500	713686808122055196	12	
1	C10H20N2O5	[M - H2O + H]+	C10H19N2O4+	0.886	0.150	34.971	34.971	0.000	8	0.146	0.964	0.964	-77922.626		231.134	16	0.258	713686924614658513	713686808256272932	13	
