structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	-Infinity	-Infinity	-58.780	0.940	0.495	6.782	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	JYZPLRVVKIUNAR	InChI=1S/C4H5AsO2/c5-3-1-2-4(6)7/h1-2H,3H2,(H,6,7)		C(C=CC(=O)O)[As]	0.000	88033131	PUBCHEM:(88033131)	2	142.948	13	0.223	713686937042382982	713686807140588016	1	
1	2	0.157	0.157	-42.977	0.207	0.333	21.284	C6H8O2	[M + H3N + H]+	C6H12NO2+	XVSYDLITVYBCBD	InChI=1S/C6H8O2/c7-6(8)5-3-1-2-4-5/h1-2,5H,3-4H2,(H,7,8)	Cyclopent-3-ene-1-carboxylate	C1C=CCC1C(=O)O	0.900	6950855;853756;12717270	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(6950855 853756 12717270);DSSTox:(DTXSID10357491)	137506062338	130.086	15	0.242	713686919082370818	713686808579234356	30	
1	1	-Infinity	-Infinity	-84.504	0.922	0.953	9.594	C4H11O8P	[M + H]+	C4H12O8P+	INIGKOCASKMRCP	InChI=1S/C4H12O8P/c5-1(6)13(2(7)8,3(9)10)4(11)12/h1-12H/q+1	Tetrakis(dihydroxymethyl)phosphanium	C(O)(O)[P+](C(O)O)(C(O)O)C(O)O	-4.500	88279602	PUBCHEM:(88279602)	2	219.026	15	0.245	713686924526578105	713686807740373512	7	
1	3	0.936	0.957	-29.341	0.044	0.333	74.900	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	175.119	15	0.246	713686919690544921	713686807656487428	43	
1	2	0.149	0.149	-104.104	0.013	0.011	9.456	C9H8F2O3	[M + H]+	C9H9F2O3+	YPUCVKIYJUGRFM	InChI=1S/C9H8F2O3/c1-14-7-5(8(10)11)3-2-4-6(7)9(12)13/h2-4,8H,1H3,(H,12,13)	3-(Difluoromethyl)-2-methoxybenzoic acid	COC1=C(C=CC=C1C(=O)O)C(F)F	2.000	84670442	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(84670442)	67108866	203.052	15	0.249	713686925361244768	713686807828453900	8	
1	1	0.150	0.150	-110.475	0.993	0.997	9.111	C5H9NO2	[M + Na]+	C5H9NNaO2+	WNNNWFKQCKFSDK	InChI=1S/C5H9NO2/c1-2-3-4(6)5(7)8/h2,4H,1,3,6H2,(H,7,8)	2-aminopent-4-enoic acid	C=CCC(C(=O)O)N	-2.300	21574346;6992333;6992334;6994429;102206530;153917190;152756328;153456131;13018909;14044;167529	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0299155);NORMAN:(NS00044687);HMDB:(HMDB0251510);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(14044 167529);METACYC:(CPD-19411);SUPERNATURAL:(SN0415038);MESH:(14044);PUBCHEM:(21574346 6992333 6992334 6994429 102206530 153917190 152756328 153456131 13018909 14044 167529);DSSTox:(DTXSID10936821 DTXSID60694383 DTXSID701313217);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998286	138.053	15	0.253	713686941987468113	713686807983643156	10	
1	1	0.125	0.125	-253.620	0.978	0.333	54.456	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	VLDVBZICYBVQHB	InChI=1S/C11H18N4O3/c1-6(2)9(11(17)18)15-10(16)8(12)3-7-4-13-5-14-7/h4-6,8-9H,3,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)		CC(C)C(C(=O)O)NC(=O)C(CC1=CN=CN1)N	-2.500	7021870;7021871;18218216	COCONUT:(CNP0471068);HMDB:(HMDB0028898);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7021871);CHEBI:(74060);SUPERNATURAL:(SN0393232);FooDB:(FDB111927);PUBCHEM:(7021870 7021871 18218216);DSSTox:(DTXSID701315425);LOTUS:(Q27144373)	138318708778	272.172	15	0.254	713686923524139278	713686808050752024	11	
1	2	0.014	0.014	-253.154	0.105	0.150	34.971	C10H18N2O4	[M + H]+	C10H19N2O4+	PCARXDDZXPRYII	InChI=1S/C10H18N2O4/c1-7(6-9(13)14)12-5-3-2-4-8(11)10(15)16/h8H,2-6,11H2,1H3,(H,13,14)(H,15,16)	(Z)-N~6~-(2-carboxy-1-methylethylidene)-L-lysine	CC(=NCCCCC(C(=O)O)N)CC(=O)O	-2.800	49867232	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(49867232)	16777218	231.134	16	0.258	713686924614658511	713686808256272932	13	
1	1	0.343	0.454	-29.692	0.685	0.333	85.795	C5H6O4	[M + H3N + H]+	C5H10NO4+	LVHBHZANLOWSRM	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Itaconate	C=C(CC(=O)O)C(=O)O	-0.100	22482559;162342694;5459996;118343040;21058381;153709761;153709762;139025095;811;57468142	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002092);MiMeDB:(MMDBc0000212);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(811);LIPIDMAPS:(LMFA01170063);SUPERNATURAL:(SN0216378);HSDB:(97-65-4);MESH:(811);FooDB:(FDB012645);PUBCHEM:(22482559 162342694 5459996 118343040 21058381 153709761 153709762 139025095 811 57468142);COCONUT:(CNP0269442);NORMAN:(NS00007642 NS00080779 NS00088647);METACYC:(CPD-22992 ITACONATE);CHEBI:(30838 17240);KEGG:(C00490);DSSTox:(DTXSID00965246 DTXSID10593478 DTXSID2026608 DTXSID50183817 DTXSID50203049 DTXSID5063817);LOTUS:(Q903311);YMDB:(YMDB00716);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(LVHBHZANLOWSRM-UHFFFAOYSA-N)	141724814206	148.060	16	0.263	713686919640213267	713686808726035000	24	
1	5	0.106	0.106	-83.061	0.083	0.048	6.188	C3H5N7O3	[M - H2O + H]+	C3H4N7O2+	VPMMBCUPOOMCKQ	InChI=1S/C3H5N7O3/c4-6-2(11)1-5-3(8-7-1)9-10(12)13/h4H2,(H,6,11)(H2,5,7,8,9)	N-[3-(hydrazinecarbonyl)-1H-1,2,4-triazol-5-yl]nitramide	C1(=NNC(=N1)N[N+](=O)[O-])C(=O)NN	-0.700	135451133	PUBCHEM:(135451133)	2	170.042	16	0.265	713686921091442650	713686808193358368	6	
