feature_id	sources_IK2D	sources_number_IK2D	sources_npc_pathway	sources_npc_superclass	sources_npc_class	canopus_formulaRank	canopus_molecularFormula	canopus_adduct	canopus_precursorFormula	canopus_npc_pathway	canopus_NPC#pathway Probability	canopus_npc_superclass	canopus_NPC#superclass Probability	canopus_npc_class	canopus_NPC#class Probability	canopus_ClassyFire#superclass	canopus_ClassyFire#superclass probability	canopus_ClassyFire#class	canopus_ClassyFire#class Probability	canopus_ClassyFire#subclass	canopus_ClassyFire#subclass Probability	canopus_ClassyFire#level 5	canopus_ClassyFire#level 5 Probability	canopus_ClassyFire#most specific class	canopus_ClassyFire#most specific class Probability	canopus_ClassyFire#all classifications	canopus_ionMass	canopus_retentionTimeInSeconds	canopus_retentionTimeInMinutes	canopus_formulaId	canopus_alignedFeatureId	canopus_overallFeatureQuality	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_IK2D	gnps_superclass	gnps_class	gnps_subclass	gnps_npc_superclass	gnps_npc_class	gnps_npc_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_IK2D	isdb_npc_pathway	isdb_npc_superclass	isdb_npc_class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_IK2D	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_overallFeatureQuality	gnps_mn_parent mass	gnps_mn_RTMean	gnps_mn_ATTRIBUTE_condition:GNPSGROUP:M1	gnps_mn_ATTRIBUTE_condition:GNPSGROUP:PA14	gnps_mn_ATTRIBUTE_condition:GNPSGROUP:QC	gnps_mn_ATTRIBUTE_condition:GNPSGROUP:media	gnps_mn_component	gnps_mn_#Scan#	gnps_mn_Compound_Name
1	sirius	1.0	canopus	canopus	canopus	1.0	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	Fatty acids	0.102	Fatty Acids and Conjugates	0.008	Halogenated fatty acids	0.084	Organometallic compounds	0.998	Organometalloid compounds	0.998	Organoarsenic compounds	0.996	Pentavalent organic arsenic compounds	0.82	Pentaorganoarsanes	0.82	Organic compounds; Organoarsenic compounds; Organometallic compounds; Organometalloid compounds; Organic salts; Organic oxides; Arsine oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Alkylarsine oxides; Chemical entities	142.948	13.0	0.223	7.13686937042383e+17	7.13686807140588e+17																																																																																															1.0	1.0	-inf	-inf	-58.78	0.94	0.495	6.782	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	JYZPLRVVKIUNAR	InChI=1S/C4H5AsO2/c5-3-1-2-4(6)7/h1-2H,3H2,(H,6,7)		C(C=CC(=O)O)[As]	0.0	88033131	PUBCHEM:(88033131)	2.0	142.948	13.0	0.223	7.13686937042383e+17	7.13686807140588e+17		142.94801883680057	0.22410153	46674702.333333336	43470275.333333336	41836026.333333336	43281153.2	-1		
2																																																																																																																																																							164.92992190077595	0.23256929	36412905.0	30002816.666666668	43513874.0	21426301.2	-1		
3																																																																																																																																																							169.0946581484051	0.2426436	0.0	20074718.0	0.0	17743924.8	-1		
4																																																																																																																																																							180.90377915736784	0.241476	14424942.833333334	11812411.333333334	14512814.0	8753440.3	-1		
6	sirius	1.0	canopus	canopus	canopus	5.0	C3H5N7O3	[M - H2O + H]+	C3H4N7O2+	Alkaloids	0.69	Pseudoalkaloids (transamidation)	0.463	Purine alkaloids	0.491	Organic nitrogen compounds	1.0	Organonitrogen compounds	0.998	Amines	0.539			Amines	0.539	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	170.042	16.0	0.265	7.136869210914427e+17	7.136868081933583e+17																																																																																															1.0	5.0	0.106	0.106	-83.061	0.083	0.048	6.188	C3H5N7O3	[M - H2O + H]+	C3H4N7O2+	VPMMBCUPOOMCKQ	InChI=1S/C3H5N7O3/c4-6-2(11)1-5-3(8-7-1)9-10(12)13/h4H2,(H,6,11)(H2,5,7,8,9)	N-[3-(hydrazinecarbonyl)-1H-1,2,4-triazol-5-yl]nitramide	C1(=NNC(=N1)N[N+](=O)[O-])C(=O)NN	-0.7	135451133	PUBCHEM:(135451133)	2.0	170.042	16.0	0.265	7.136869210914427e+17	7.136868081933583e+17		170.04233184513828	0.2581196	30457295.0	11904532.833333334	3530524.1666666665	15618435.0	-1		
7	sirius	1.0	canopus	canopus	canopus	1.0	C4H11O8P	[M + H]+	C4H12O8P+	Carbohydrates	0.722	Polyols	0.314	Fatty alcohols	0.364	Organic oxygen compounds	1.0	Organooxygen compounds	0.994	Carbohydrates and carbohydrate conjugates	0.616	Monosaccharides	0.648	Monosaccharides	0.648	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monosaccharides; Secondary alcohols; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	219.026	15.0	0.245	7.13686924526578e+17	7.136868077403735e+17																																																																																															1.0	1.0	-inf	-inf	-84.504	0.922	0.953	9.594	C4H11O8P	[M + H]+	C4H12O8P+	INIGKOCASKMRCP	InChI=1S/C4H12O8P/c5-1(6)13(2(7)8,3(9)10)4(11)12/h1-12H/q+1	Tetrakis(dihydroxymethyl)phosphanium	C(O)(O)[P+](C(O)O)(C(O)O)C(O)O	-4.5	88279602	PUBCHEM:(88279602)	2.0	219.026	15.0	0.245	7.13686924526578e+17	7.136868077403735e+17		219.0263704497017	0.24644226	0.0	46766805.333333336	16604096.5	45429824.8	-1		
8	sirius	1.0	canopus	canopus	canopus	2.0	C9H8F2O3	[M + H]+	C9H9F2O3+	Shikimates and Phenylpropanoids	0.59	Fatty Acids and Conjugates	0.314	Halogenated fatty acids	0.54	Benzenoids	0.692	Benzene and substituted derivatives	0.706					Benzene and substituted derivatives	0.706	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	203.052	15.0	0.249	7.136869253612448e+17	7.136868078284539e+17																																																																																															1.0	2.0	0.149	0.149	-104.104	0.013	0.011	9.456	C9H8F2O3	[M + H]+	C9H9F2O3+	YPUCVKIYJUGRFM	InChI=1S/C9H8F2O3/c1-14-7-5(8(10)11)3-2-4-6(7)9(12)13/h2-4,8H,1H3,(H,12,13)	3-(Difluoromethyl)-2-methoxybenzoic acid	COC1=C(C=CC=C1C(=O)O)C(F)F	2.0	84670442	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(84670442)	67108866.0	203.052	15.0	0.249	7.136869253612448e+17	7.136868078284539e+17		203.05240918352425	0.2484539	0.0	350448641.6666667	103783790.0	333885842.0	-1		
9																																																																																																																																																							185.04198858091644	0.24963875	0.0	26461083.33333333	0.0	64917239.2	-1		
10	sirius	1.0	canopus	canopus	canopus	1.0	C5H9NO2	[M + Na]+	C5H9NNaO2+	Amino acids and Peptides	1.0	Small peptides	1.0	Aminoacids	1.0	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Alpha amino acids	0.906	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138.053	15.0	0.253	7.136869419874682e+17	7.136868079836431e+17																																																																																															1.0	1.0	0.15	0.15	-110.475	0.993	0.997	9.111	C5H9NO2	[M + Na]+	C5H9NNaO2+	WNNNWFKQCKFSDK	InChI=1S/C5H9NO2/c1-2-3-4(6)5(7)8/h2,4H,1,3,6H2,(H,7,8)	2-aminopent-4-enoic acid	C=CCC(C(=O)O)N	-2.3	21574346;6992333;6992334;6994429;102206530;153917190;152756328;153456131;13018909;14044;167529	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0299155);NORMAN:(NS00044687);HMDB:(HMDB0251510);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(14044 167529);METACYC:(CPD-19411);SUPERNATURAL:(SN0415038);MESH:(14044);PUBCHEM:(21574346 6992333 6992334 6994429 102206530 153917190 152756328 153456131 13018909 14044 167529);DSSTox:(DTXSID10936821 DTXSID60694383 DTXSID701313217);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998286.0	138.053	15.0	0.253	7.136869419874682e+17	7.136868079836431e+17		138.0524287944269	0.25374514	0.0	0.0	23994066.33333333	152159676.0	-1		
11	isdb & sirius	1.0	canopus	canopus	canopus	1.0	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	Amino acids and Peptides	0.997	Small peptides	0.998	Dipeptides	0.986	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	0.998	Peptides	0.925	Dipeptides	0.857	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Amines; Secondary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	272.172	15.0	0.254	7.136869235241393e+17	7.13686808050752e+17		CCMSLIB00003137278	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.842479	4917170.0	0.0	1.56977	8.0	0.000427246	272.171	1.0	temp/spectra_filtered.mgf11	1.0	Spectral Match to Pro-Arg from NIST14	ESI	Q-TOF	Isolated	Data from Christopher A. Lowry	Data deposited by fevargas	M+H	272.171	0.0	1.0						3.0	Positive	GNPS-NIST14-MATCHES	272.171	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137278	22.0	Amino acids and Peptides	0.4666666666666667	Small peptides	0.4666666666666667	Dipeptides	0.4666666666666667	1.0	0.7494136	ISDB									HMNSRTLZAJHSIK							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	2.997654438018799	1.0	1.0	1.0	0.125	0.125	-253.62	0.978	0.333	54.456	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	VLDVBZICYBVQHB	InChI=1S/C11H18N4O3/c1-6(2)9(11(17)18)15-10(16)8(12)3-7-4-13-5-14-7/h4-6,8-9H,3,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)		CC(C)C(C(=O)O)NC(=O)C(CC1=CN=CN1)N	-2.5	7021870;7021871;18218216	COCONUT:(CNP0471068);HMDB:(HMDB0028898);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7021871);CHEBI:(74060);SUPERNATURAL:(SN0393232);FooDB:(FDB111927);PUBCHEM:(7021870 7021871 18218216);DSSTox:(DTXSID701315425);LOTUS:(Q27144373)	138318708778.0	272.172	15.0	0.254	7.136869235241393e+17	7.13686808050752e+17		272.1714198979163	0.2558918	0.0	0.0	0.0	34332047.6	22	11.0	Spectral Match to Pro-Arg from NIST14
