feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_overallFeatureQuality
1	JYZPLRVVKIUNAR	sirius	C(C=CC(=O)O)[As]																																																																																												1.0	1.0	-inf	-inf	-58.78	0.94	0.495	6.782	C4H5AsO2	[M - H2O + H]+	C4H4AsO+	InChI=1S/C4H5AsO2/c5-3-1-2-4(6)7/h1-2H,3H2,(H,6,7)		C(C=CC(=O)O)[As]	0.0	88033131	PUBCHEM:(88033131)	2.0	142.948	13.0	0.223	7.13686937042383e+17	7.13686807140588e+17	
6	VPMMBCUPOOMCKQ	sirius	C1(=NNC(=N1)N[N+](=O)[O-])C(=O)NN																																																																																												1.0	5.0	0.106	0.106	-83.061	0.083	0.048	6.188	C3H5N7O3	[M - H2O + H]+	C3H4N7O2+	InChI=1S/C3H5N7O3/c4-6-2(11)1-5-3(8-7-1)9-10(12)13/h4H2,(H,6,11)(H2,5,7,8,9)	N-[3-(hydrazinecarbonyl)-1H-1,2,4-triazol-5-yl]nitramide	C1(=NNC(=N1)N[N+](=O)[O-])C(=O)NN	-0.7	135451133	PUBCHEM:(135451133)	2.0	170.042	16.0	0.265	7.136869210914427e+17	7.136868081933583e+17	
7	INIGKOCASKMRCP	sirius	C(O)(O)[P+](C(O)O)(C(O)O)C(O)O																																																																																												1.0	1.0	-inf	-inf	-84.504	0.922	0.953	9.594	C4H11O8P	[M + H]+	C4H12O8P+	InChI=1S/C4H12O8P/c5-1(6)13(2(7)8,3(9)10)4(11)12/h1-12H/q+1	Tetrakis(dihydroxymethyl)phosphanium	C(O)(O)[P+](C(O)O)(C(O)O)C(O)O	-4.5	88279602	PUBCHEM:(88279602)	2.0	219.026	15.0	0.245	7.13686924526578e+17	7.136868077403735e+17	
8	YPUCVKIYJUGRFM	sirius	COC1=C(C=CC=C1C(=O)O)C(F)F																																																																																												1.0	2.0	0.149	0.149	-104.104	0.013	0.011	9.456	C9H8F2O3	[M + H]+	C9H9F2O3+	InChI=1S/C9H8F2O3/c1-14-7-5(8(10)11)3-2-4-6(7)9(12)13/h2-4,8H,1H3,(H,12,13)	3-(Difluoromethyl)-2-methoxybenzoic acid	COC1=C(C=CC=C1C(=O)O)C(F)F	2.0	84670442	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(84670442)	67108866.0	203.052	15.0	0.249	7.136869253612448e+17	7.136868078284539e+17	
10	WNNNWFKQCKFSDK	sirius	C=CCC(C(=O)O)N																																																																																												1.0	1.0	0.15	0.15	-110.475	0.993	0.997	9.111	C5H9NO2	[M + Na]+	C5H9NNaO2+	InChI=1S/C5H9NO2/c1-2-3-4(6)5(7)8/h2,4H,1,3,6H2,(H,7,8)	2-aminopent-4-enoic acid	C=CCC(C(=O)O)N	-2.3	21574346;6992333;6992334;6994429;102206530;153917190;152756328;153456131;13018909;14044;167529	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0299155);NORMAN:(NS00044687);HMDB:(HMDB0251510);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(14044 167529);METACYC:(CPD-19411);SUPERNATURAL:(SN0415038);MESH:(14044);PUBCHEM:(21574346 6992333 6992334 6994429 102206530 153917190 152756328 153456131 13018909 14044 167529);DSSTox:(DTXSID10936821 DTXSID60694383 DTXSID701313217);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998286.0	138.053	15.0	0.253	7.136869419874682e+17	7.136868079836431e+17	
11	HMNSRTLZAJHSIK	isdb																																														22.0	Amino acids and Peptides	0.4666666666666667	Small peptides	0.4666666666666667	Dipeptides	0.4666666666666667	1.0	0.7494136	ISDB															['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	2.997654438018799	1.0																								
11	VLDVBZICYBVQHB	sirius	CC(C)C(C(=O)O)NC(=O)C(CC1=CN=CN1)N																																																																																												1.0	1.0	0.125	0.125	-253.62	0.978	0.333	54.456	C11H18N4O3	[M + H3N + H]+	C11H22N5O3+	InChI=1S/C11H18N4O3/c1-6(2)9(11(17)18)15-10(16)8(12)3-7-4-13-5-14-7/h4-6,8-9H,3,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)		CC(C)C(C(=O)O)NC(=O)C(CC1=CN=CN1)N	-2.5	7021870;7021871;18218216	COCONUT:(CNP0471068);HMDB:(HMDB0028898);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7021871);CHEBI:(74060);SUPERNATURAL:(SN0393232);FooDB:(FDB111927);PUBCHEM:(7021870 7021871 18218216);DSSTox:(DTXSID701315425);LOTUS:(Q27144373)	138318708778.0	272.172	15.0	0.254	7.136869235241393e+17	7.13686808050752e+17	
13	PCARXDDZXPRYII	sirius	CC(=NCCCCC(C(=O)O)N)CC(=O)O																																																																																												1.0	2.0	0.014	0.014	-253.154	0.105	0.15	34.971	C10H18N2O4	[M + H]+	C10H19N2O4+	InChI=1S/C10H18N2O4/c1-7(6-9(13)14)12-5-3-2-4-8(11)10(15)16/h8H,2-6,11H2,1H3,(H,13,14)(H,15,16)	(Z)-N~6~-(2-carboxy-1-methylethylidene)-L-lysine	CC(=NCCCCC(C(=O)O)N)CC(=O)O	-2.8	49867232	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(49867232)	16777218.0	231.134	16.0	0.258	7.136869246146586e+17	7.136868082562729e+17	
15	JBVUOARNEYAAOS	isdb	C[C@@H]1NC(=O)[C@@H]2C[C@@H](O)CN2C1=O																																													21.0	Amino acids and Peptides	0.6666666666666666	Small peptides	0.3333333333333333	Dipeptides	0.3333333333333333	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q77281159	JBVUOARNEYAAOS-JKUQZMGJSA-N	InChI=1S/C8H12N2O3/c1-4-8(13)10-3-5(11)2-6(10)7(12)9-4/h4-6,11H,2-3H2,1H3,(H,9,12)/t4-,5+,6-/m0/s1	C[C@@H]1NC(=O)[C@@H]2C[C@@H](O)CN2C1=O	C8H12N2O3	pos_1_1proton1dmso	184.084792244	(3S,7R,8aS)-7-hydroxy-3-methylhexahydropyrrolo[1,2-a]pyrazine-1,4-dione	Amino acids and Peptides			http://www.wikidata.org/entity/Q7255018	Pseudomonas brassicacearum	396594.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas brassicacearum']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6.0	1.0	6.5	1.0																								
15	USGBGVDLPUSJQF	sirius	CC(CS(=O)(=O)CC1(CC1)CC#N)C(=O)O																																																																																												1.0	1.0	0.054	0.054	-108.954	0.994	0.333	91.337	C10H15NO4S	[M + H3N + H]+	C10H19N2O4S+	InChI=1S/C10H15NO4S/c1-8(9(12)13)6-16(14,15)7-10(2-3-10)4-5-11/h8H,2-4,6-7H2,1H3,(H,12,13)	3-[[1-(Cyanomethyl)cyclopropyl]methylsulfonyl]-2-methylpropanoic acid	CC(CS(=O)(=O)CC1(CC1)CC#N)C(=O)O	0.0	65495862	PUBCHEM:(65495862)	2.0	263.106	16.0	0.266	7.136869301846949e+17	7.136868083233818e+17	
